Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),Closing_Price
BTC,2020-12-17,21310.65626,19433.14137,21447.52385,19293.29896,2.131065626
BTC,2020-12-18,22895.97624,21351.25481,23770.84657,21248.36533,2.289597624
BTC,2020-12-19,23008.77626,22819.5589,23261.25288,22357.60765,2.300877626
BTC,2020-12-20,23890.82265,23126.60677,24122.67327,22781.87678,2.389082265
BTC,2020-12-21,23537.36989,23829.2848,24273.0415,23085.95477,2.353736989
BTC,2020-12-22,23177.271,23476.0875,24081.05309,21960.19135,2.3177271
BTC,2020-12-23,23433.98076,22729.65929,23629.40446,22384.12785,2.343398076
BTC,2020-12-24,23224.45414,23791.56529,24086.95066,22644.56106,2.322445414
BTC,2020-12-25,23623.88553,23228.90909,23737.75715,22716.17417,2.362388553
BTC,2020-12-26,24581.00617,23726.191,24627.29791,23422.31033,2.458100617
BTC,2020-12-27,26381.29623,24708.20678,26750.87995,24497.41087,2.638129623
BTC,2020-12-28,26389.29026,26447.70807,28352.62782,25759.06861,2.638929026
BTC,2020-12-29,26718.02946,26226.06613,27447.55138,26046.62558,2.671802946
BTC,2020-12-30,26975.72956,27038.73568,27169.22556,25875.04979,2.697572956
BTC,2020-12-31,28768.83621,27349.32723,28928.21439,27349.2832,2.876883621
BTC,2021-01-01,29111.52157,28872.82977,29280.04533,27916.62506,2.911152157
BTC,2021-01-02,29333.60512,28935.81098,29601.5949,28753.41231,2.933360512
BTC,2021-01-03,32154.16736,29353.64061,33064.67353,29012.92789,3.215416736
BTC,2021-01-04,33002.53643,32074.10661,34452.08034,31885.58162,3.300253643
BTC,2021-01-05,31431.61228,32788.58345,33358.39935,28154.1103,3.143161228
BTC,2021-01-06,34433.60651,31991.92686,34435.41748,29948.65363,3.443360651
BTC,2021-01-07,36275.75635,34001.34476,36461.69177,33351.02812,3.627575635
BTC,2021-01-08,39713.50786,36806.41976,40324.01403,36356.43076,3.971350786
BTC,2021-01-09,40519.4486,39420.8007,41962.36213,36741.33018,4.05194486
BTC,2021-01-10,40258.92399,40558.10212,41375.43068,38766.27616,4.025892399
BTC,2021-01-11,38709.76537,40096.3332,41186.52343,34897.55047,3.870976537
BTC,2021-01-12,34409.64238,38132.53579,38204.75441,30305.30005,3.440964238
BTC,2021-01-13,34214.61026,35432.85914,36566.90906,32538.94117,3.421461026
BTC,2021-01-14,37017.0075,34070.32562,37798.8601,32470.58526,3.70170075
BTC,2021-01-15,38435.86351,37373.16196,40066.31976,36770.79512,3.843586351
BTC,2021-01-16,36751.58497,39127.67852,39673.0723,34425.48794,3.675158497
BTC,2021-01-17,36016.77961,36752.77118,37943.51217,35398.86752,3.601677961
BTC,2021-01-18,36375.81138,36016.75309,36840.13285,33870.13838,3.637581138
BTC,2021-01-19,36346.6095,35847.83342,37440.40401,34816.28925,3.63466095
BTC,2021-01-20,36577.51965,36639.98591,37876.15893,36136.53557,3.657751965
BTC,2021-01-21,35004.53263,35909.43225,36409.7086,33430.82199,3.500453263
BTC,2021-01-22,30606.18268,35491.42392,35612.7372,30077.27896,3.060618268
BTC,2021-01-23,33368.36593,30844.83315,33873.77299,28845.31148,3.336836593
BTC,2021-01-24,32070.09743,33000.44664,33501.24845,31451.2963,3.207009743
BTC,2021-01-25,32285.72613,32107.39182,33088.54855,30987.70386,3.228572613
BTC,2021-01-26,32500.25596,32297.50417,34893.98402,31949.28237,3.250025596
BTC,2021-01-27,32324.55565,32270.82562,32770.80461,31062.54953,3.232455565
BTC,2021-01-28,30534.99937,32497.84846,32570.2815,29452.78559,3.053499937
BTC,2021-01-29,33408.21834,30426.0844,33481.48542,29921.96008,3.340821834
BTC,2021-01-30,34842.55739,33424.59559,38468.07829,31984.00892,3.484255739
BTC,2021-01-31,34622.37323,34265.37666,34920.29115,32945.36998,3.462237323
BTC,2021-02-01,33087.36986,34304.23451,34373.73401,32229.54518,3.308736986
BTC,2021-02-02,33613.32076,33138.77651,34715.65573,32341.98991,3.361332076
BTC,2021-02-03,35632.90195,33525.28825,36008.31082,33437.74691,3.563290195
BTC,2021-02-04,37397.42636,35519.70777,37505.30371,35416.73178,3.739742636
BTC,2021-02-05,37256.25211,37645.94564,38731.08795,36207.49431,3.725625211
BTC,2021-02-06,37851.59659,36970.81227,38332.41692,36637.64562,3.785159659
BTC,2021-02-07,40302.79979,38305.27539,40999.04684,38233.72667,4.030279979
BTC,2021-02-08,38461.6814,39253.22773,39698.0659,37388.34169,3.84616814
BTC,2021-02-09,44716.68547,38853.29945,44981.86,38036.28325,4.471668547
BTC,2021-02-10,46674.85169,46433.48964,48226.25089,45058.069,4.667485169
BTC,2021-02-11,45237.47569,46512.99056,47374.35591,43886.27604,4.523747569
BTC,2021-02-12,47500.89752,44859.84767,48600.63193,44070.72706,4.750089752
BTC,2021-02-13,47884.18286,47992.62291,48925.53448,46550.14795,4.788418286
BTC,2021-02-14,47005.19065,47405.55715,48189.77799,46333.57366,4.700519065
BTC,2021-02-15,49151.16758,47231.13334,49716.43638,47105.17175,4.915116758
BTC,2021-02-16,48125.9922,48654.83072,49037.91611,45926.25155,4.81259922
BTC,2021-02-17,48840.41447,47944.48497,50584.84895,47088.83608,4.884041447
BTC,2021-02-18,52165.30256,49186.33387,52621.83507,48990.89519,5.216530256
BTC,2021-02-19,51728.5088,52146.00339,52532.29712,50971.74318,5.17285088
BTC,2021-02-20,55719.20436,51598.14371,56283.54984,50821.47282,5.571920436
BTC,2021-02-21,54801.64864,55917.03918,57487.02831,54039.67392,5.480164864
BTC,2021-02-22,57128.64261,55913.35145,58332.36462,55531.5507,5.712864261
BTC,2021-02-23,54181.91465,57453.35801,57535.86348,47780.74958,5.418191465
BTC,2021-02-24,48172.87748,54124.53909,54180.23218,45047.78286,4.817287748
BTC,2021-02-25,48745.43298,48923.03508,51413.61356,47032.52426,4.874543298
BTC,2021-02-26,48291.41208,49746.65163,52076.31772,47501.6748,4.829141208
BTC,2021-02-27,45752.11492,47135.55173,48453.73863,44279.44954,4.575211492
BTC,2021-02-28,46642.60608,46326.82407,48353.001,46207.70578,4.664260608
BTC,2021-03-01,45092.80657,46204.05856,46675.19785,43119.15702,4.509280657
BTC,2021-03-02,49248.91401,45234.36876,49520.72499,45044.38376,4.924891401
BTC,2021-03-03,47900.77688,49636.02146,50211.43717,47200.04217,4.790077688
BTC,2021-03-04,50811.85517,48526.99036,52636.22299,48195.1231,5.081185517
BTC,2021-03-05,48259.48708,50433.43615,51781.96783,47578.30723,4.825948708
BTC,2021-03-06,49149.73083,48404.21363,49462.13301,46393.39146,4.914973083
BTC,2021-03-07,48879.1519,48791.79051,49173.76187,47127.04097,4.88791519
BTC,2021-03-08,50594.69857,48887.56641,51222.8723,48887.56641,5.059469857
BTC,2021-03-09,51503.25813,50948.88071,51916.41395,49390.18272,5.150325813
BTC,2021-03-10,54458.03781,52360.74816,54804.07845,51865.59003,5.445803781
BTC,2021-03-11,56915.17394,54924.68653,57336.74541,53101.23637,5.691517394
BTC,2021-03-12,57636.75796,55898.86482,58034.70396,54323.6085,5.763675796
BTC,2021-03-13,57306.16626,57817.27021,58077.9516,55116.25835,5.730616626
BTC,2021-03-14,60743.04182,57227.23345,61556.59449,56124.14999,6.074304182
BTC,2021-03-15,60197.90199,60972.49128,61453.05834,59275.70383,6.019790199
BTC,2021-03-16,56300.33411,58962.48846,60570.69365,54790.32931,5.630033411
BTC,2021-03-17,56639.78395,55668.62353,56821.88244,53350.36773,5.663978395
BTC,2021-03-18,58567.28378,56908.56502,58923.54893,54201.70163,5.856728378
BTC,2021-03-19,57983.09474,58883.01836,60074.36985,57075.06857,5.798309474
BTC,2021-03-20,58451.73147,57661.41518,59461.77526,56327.79283,5.845173147
BTC,2021-03-21,58593.60245,58127.68804,59919.21177,57914.89451,5.859360245
BTC,2021-03-22,57796.46737,58139.30027,58649.13419,55645.05427,5.779646737
BTC,2021-03-23,54329.35863,57389.21162,58407.61921,53795.15409,5.432935863
BTC,2021-03-24,54794.29771,54143.10604,55858.36925,53031.32679,5.479429771
BTC,2021-03-25,52787.74553,54375.80763,57225.29881,51777.97109,5.278774553
BTC,2021-03-26,52173.86798,52335.56503,53209.40638,50458.09997,5.217386798
BTC,2021-03-27,54483.04573,51344.04898,54806.88151,51286.29118,5.448304573
BTC,2021-03-28,56234.35611,55067.8244,56520.30729,54022.07694,5.623435611
BTC,2021-03-29,55343.92582,55843.74892,56541.00653,54741.62637,5.534392582
BTC,2021-03-30,57627.67925,55786.54607,58353.52939,54929.68059,5.762767925
BTC,2021-03-31,58734.47543,57613.16126,59379.99216,57069.22927,5.873447543
BTC,2021-04-01,58724.66452,58810.15589,59835.39233,56934.31212,5.872466452
BTC,2021-04-02,58984.61293,58764.43309,59458.98456,57973.3521,5.898461293
BTC,2021-04-03,58821.62699,58726.08457,60101.75233,58478.59835,5.882162699
BTC,2021-04-04,57517.79877,58958.42898,59713.21014,57185.76801,5.751779877
BTC,2021-04-05,58177.40276,57134.86005,58540.98471,56552.22227,5.817740276
BTC,2021-04-06,58843.55954,58230.67554,59243.03618,56846.96905,5.884355954
BTC,2021-04-07,58040.1876,59133.65574,59484.19947,57421.85309,5.80401876
BTC,2021-04-08,56508.94286,58030.62185,58645.77297,55541.90613,5.650894286
BTC,2021-04-09,57880.90568,55996.08036,58179.65686,55758.49118,5.788090568
BTC,2021-04-10,58171.90902,58094.74413,58880.82161,57717.85978,5.817190902
BTC,2021-04-11,59295.95004,58149.65059,61065.22262,57924.07526,5.929595004
BTC,2021-04-12,59822.90168,59765.10382,60588.47197,59229.86011,5.982290168
BTC,2021-04-13,59853.19724,59998.15991,61219.71861,59428.21475,5.985319724
BTC,2021-04-14,63223.88439,59841.56137,63707.34236,59799.44058,6.322388439
BTC,2021-04-15,62926.55718,63562.67354,64801.78787,61400.28397,6.292655718
BTC,2021-04-16,63346.78904,62987.27018,63850.25073,62094.63291,6.334678904
BTC,2021-04-17,61965.7826,63225.09392,63520.32537,60033.53467,6.19657826
BTC,2021-04-18,60574.44473,61444.2325,62534.0285,59802.88927,6.057444473
BTC,2021-04-19,56850.83017,60191.52541,60531.98885,52148.98354,5.685083017
BTC,2021-04-20,56224.10159,56335.38914,57609.36812,54449.24533,5.622410159
