Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),Closing Price
BTC,11/20/2020,17954.85801,17786.21258,18170.83027,17381.23626,17.95485801
BTC,11/21/2020,18612.87067,17823.3433,18813.40769,17762.92882,18.61287067
BTC,11/22/2020,18591.8566,18666.58022,18964.64351,18368.28996,18.5918566
BTC,11/23/2020,18629.99554,18683.8472,18732.99132,17806.2676,18.62999554
BTC,11/24/2020,18469.20047,18405.5557,18752.16004,17990.11089,18.46920047
BTC,11/25/2020,19045.73647,18370.21961,19392.90868,18059.26543,19.04573647
BTC,11/26/2020,18746.93481,19136.08297,19391.46366,18640.64218,18.74693481
BTC,11/27/2020,17187.40628,18719.20716,18908.63553,16242.70294,17.18740628
BTC,11/28/2020,17023.9614,17180.71873,17482.2001,16489.30267,17.0239614
BTC,11/29/2020,17814.78028,17159.1095,17901.38262,16906.1761,17.81478028
BTC,11/30/2020,18114.41435,17742.82304,18356.31323,17545.19622,18.11441435
BTC,12/1/2020,19382.36059,18201.27725,19850.11449,18201.27725,19.38236059
BTC,12/2/2020,18980.97745,19677.98984,19920.53426,18171.75051,18.98097745
BTC,12/3/2020,19184.89785,18796.74864,19357.16459,18360.23172,19.18489785
BTC,12/4/2020,19464.5317,19220.59015,19607.85534,18899.48869,19.4645317
BTC,12/5/2020,18813.12476,19441.5588,19539.86235,18717.12493,18.81312476
BTC,12/6/2020,19045.02027,18668.15855,19200.79191,18518.85142,19.04502027
BTC,12/7/2020,19113.9334,19162.26446,19347.62491,18927.29956,19.1139334
BTC,12/8/2020,19107.5998,19373.44523,19433.09749,18931.5713,19.1075998
BTC,12/9/2020,18682.45783,19177.92617,19299.04708,18630.74248,18.68245783
BTC,12/10/2020,18543.00705,18320.23313,18618.96013,17640.56207,18.54300705
BTC,12/11/2020,18359.4766,18557.45291,18565.21617,17904.06899,18.3594766
BTC,12/12/2020,18137.31937,18255.77375,18293.55273,17593.1721,18.13731937
BTC,12/13/2020,18882.26017,18040.17062,18956.34444,18029.14317,18.88226017
BTC,12/14/2020,19060.2769,18822.50994,19408.67465,18726.84709,19.0602769
BTC,12/15/2020,19251.224,19161.13847,19323.16531,19015.68597,19.251224
BTC,12/16/2020,19443.47635,19264.6703,19552.37198,19053.34247,19.44347635
BTC,12/17/2020,21310.65626,19433.14137,21447.52385,19293.29896,21.31065626
BTC,12/18/2020,22895.97624,21351.25481,23770.84657,21248.36533,22.89597624
BTC,12/19/2020,23008.77626,22819.5589,23261.25288,22357.60765,23.00877626
BTC,12/20/2020,23890.82265,23126.60677,24122.67327,22781.87678,23.89082265
BTC,12/21/2020,23537.36989,23829.2848,24273.0415,23085.95477,23.53736989
BTC,12/22/2020,23177.271,23476.0875,24081.05309,21960.19135,23.177271
BTC,12/23/2020,23433.98076,22729.65929,23629.40446,22384.12785,23.43398076
BTC,12/24/2020,23224.45414,23791.56529,24086.95066,22644.56106,23.22445414
BTC,12/25/2020,23623.88553,23228.90909,23737.75715,22716.17417,23.62388553
BTC,12/26/2020,24581.00617,23726.191,24627.29791,23422.31033,24.58100617
BTC,12/27/2020,26381.29623,24708.20678,26750.87995,24497.41087,26.38129623
BTC,12/28/2020,26389.29026,26447.70807,28352.62782,25759.06861,26.38929026
BTC,12/29/2020,26718.02946,26226.06613,27447.55138,26046.62558,26.71802946
BTC,12/30/2020,26975.72956,27038.73568,27169.22556,25875.04979,26.97572956
BTC,12/31/2020,28768.83621,27349.32723,28928.21439,27349.2832,28.76883621
BTC,1/1/2021,29111.52157,28872.82977,29280.04533,27916.62506,29.11152157
BTC,1/2/2021,29333.60512,28935.81098,29601.5949,28753.41231,29.33360512
BTC,1/3/2021,32154.16736,29353.64061,33064.67353,29012.92789,32.15416736
BTC,1/4/2021,33002.53643,32074.10661,34452.08034,31885.58162,33.00253643
BTC,1/5/2021,31431.61228,32788.58345,33358.39935,28154.1103,31.43161228
BTC,1/6/2021,34433.60651,31991.92686,34435.41748,29948.65363,34.43360651
BTC,1/7/2021,36275.75635,34001.34476,36461.69177,33351.02812,36.27575635
BTC,1/8/2021,39713.50786,36806.41976,40324.01403,36356.43076,39.71350786
BTC,1/9/2021,40519.4486,39420.8007,41962.36213,36741.33018,40.5194486
BTC,1/10/2021,40258.92399,40558.10212,41375.43068,38766.27616,40.25892399
BTC,1/11/2021,38709.76537,40096.3332,41186.52343,34897.55047,38.70976537
BTC,1/12/2021,34409.64238,38132.53579,38204.75441,30305.30005,34.40964238
BTC,1/13/2021,34214.61026,35432.85914,36566.90906,32538.94117,34.21461026
BTC,1/14/2021,37017.0075,34070.32562,37798.8601,32470.58526,37.0170075
BTC,1/15/2021,38435.86351,37373.16196,40066.31976,36770.79512,38.43586351
BTC,1/16/2021,36751.58497,39127.67852,39673.0723,34425.48794,36.75158497
BTC,1/17/2021,36016.77961,36752.77118,37943.51217,35398.86752,36.01677961
BTC,1/18/2021,36375.81138,36016.75309,36840.13285,33870.13838,36.37581138
BTC,1/19/2021,36346.6095,35847.83342,37440.40401,34816.28925,36.3466095
BTC,1/20/2021,36577.51965,36639.98591,37876.15893,36136.53557,36.57751965
BTC,1/21/2021,35004.53263,35909.43225,36409.7086,33430.82199,35.00453263
BTC,1/22/2021,30606.18268,35491.42392,35612.7372,30077.27896,30.60618268
BTC,1/23/2021,33368.36593,30844.83315,33873.77299,28845.31148,33.36836593
BTC,1/24/2021,32070.09743,33000.44664,33501.24845,31451.2963,32.07009743
BTC,1/25/2021,32285.72613,32107.39182,33088.54855,30987.70386,32.28572613
BTC,1/26/2021,32500.25596,32297.50417,34893.98402,31949.28237,32.50025596
BTC,1/27/2021,32324.55565,32270.82562,32770.80461,31062.54953,32.32455565
BTC,1/28/2021,30534.99937,32497.84846,32570.2815,29452.78559,30.53499937
BTC,1/29/2021,33408.21834,30426.0844,33481.48542,29921.96008,33.40821834
BTC,1/30/2021,34842.55739,33424.59559,38468.07829,31984.00892,34.84255739
BTC,1/31/2021,34622.37323,34265.37666,34920.29115,32945.36998,34.62237323
BTC,2/1/2021,33087.36986,34304.23451,34373.73401,32229.54518,33.08736986
BTC,2/2/2021,33613.32076,33138.77651,34715.65573,32341.98991,33.61332076
BTC,2/3/2021,35632.90195,33525.28825,36008.31082,33437.74691,35.63290195
BTC,2/4/2021,37397.42636,35519.70777,37505.30371,35416.73178,37.39742636
BTC,2/5/2021,37256.25211,37645.94564,38731.08795,36207.49431,37.25625211
BTC,2/6/2021,37851.59659,36970.81227,38332.41692,36637.64562,37.85159659
BTC,2/7/2021,40302.79979,38305.27539,40999.04684,38233.72667,40.30279979
BTC,2/8/2021,38461.6814,39253.22773,39698.0659,37388.34169,38.4616814
BTC,2/9/2021,44716.68547,38853.29945,44981.86,38036.28325,44.71668547
BTC,2/10/2021,46674.85169,46433.48964,48226.25089,45058.069,46.67485169
BTC,2/11/2021,45237.47569,46512.99056,47374.35591,43886.27604,45.23747569
BTC,2/12/2021,47500.89752,44859.84767,48600.63193,44070.72706,47.50089752
BTC,2/13/2021,47884.18286,47992.62291,48925.53448,46550.14795,47.88418286
BTC,2/14/2021,47005.19065,47405.55715,48189.77799,46333.57366,47.00519065
BTC,2/15/2021,49151.16758,47231.13334,49716.43638,47105.17175,49.15116758
BTC,2/16/2021,48125.9922,48654.83072,49037.91611,45926.25155,48.1259922
BTC,2/17/2021,48840.41447,47944.48497,50584.84895,47088.83608,48.84041447
BTC,2/18/2021,52165.30256,49186.33387,52621.83507,48990.89519,52.16530256
BTC,2/19/2021,51728.5088,52146.00339,52532.29712,50971.74318,51.7285088
BTC,2/20/2021,55719.20436,51598.14371,56283.54984,50821.47282,55.71920436
BTC,2/21/2021,54801.64864,55917.03918,57487.02831,54039.67392,54.80164864
BTC,2/22/2021,57128.64261,55913.35145,58332.36462,55531.5507,57.12864261
